election,election_date,locality,precinct,Early Voting,Provisional,Election Day,Mailed Absentee,Post-Election,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters,% (totalTurnout_Active)
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,204 - CLEAR FORK,114,1,208,15,,338,760,41,801,44%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,207 - FREESTONE,,2,78,3,,83,190,14,204,44%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,209 - JEFFERSONVILLE,578,6,663,86,,1333,3497,354,3851,38%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,214 - THOMPSON VALLEY,80,1,232,15,3,331,715,48,763,46%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,301 - CEDAR BLUFF,252,2,611,72,2,939,2722,210,2932,34%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,302 - BAPTIST VALLEY,46,,111,3,,160,447,36,483,36%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,303 - PAINT LICK,150,1,549,42,6,748,1994,143,2137,38%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,401 - RICHLANDS,292,6,1002,102,6,1408,4409,498,4907,32%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,402 - JEWELL RIDGE,12,1,90,2,,105,303,33,336,35%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,501 - SPRINGVILLE,146,5,484,31,,666,1864,123,1987,36%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,502 - GRAHAM,164,5,895,77,10,1151,3371,314,3685,34%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,TAZEWELL COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,001 - PRECINCT 1,366,16,1314,285,9,1990,4123,343,4466,48%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,002 - PRECINCT 2,176,18,920,152,11,1277,3935,500,4435,32%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,003 - PRECINCT 3,129,8,621,93,12,863,2403,215,2618,36%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,004 - PRECINCT 4,255,13,984,218,8,1478,3447,388,3835,43%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,005 - PRECINCT 5,172,13,677,100,5,967,3469,477,3946,28%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,006 - PRECINCT 6,324,11,1117,274,15,1741,3285,144,3429,53%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,007 - PRECINCT 7,153,10,753,134,10,1060,1927,71,1998,55%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,008 - PRECINCT 8,314,13,878,197,13,1415,3388,340,3728,42%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,009 - PRECINCT 9,347,5,990,200,23,1565,2758,111,2869,57%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,010 - PRECINCT 10,439,12,1082,292,30,1855,3489,145,3634,53%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,011 - PRECINCT 11,399,7,1360,294,20,2080,3810,293,4103,55%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,012 - PRECINCT 12,233,15,917,205,15,1385,3582,357,3939,39%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,013 - PRECINCT 13,297,12,1163,267,13,1752,3998,322,4320,44%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,014 - PRECINCT 14,192,7,981,175,12,1367,3247,225,3472,42%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,015 - PRECINCT 15,72,6,607,94,3,782,2729,254,2983,29%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,016 - PRECINCT 16,168,11,877,185,14,1255,3435,266,3701,37%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,017 - PRECINCT 17,295,7,693,160,4,1159,2329,302,2631,50%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,018 - PRECINCT 18,419,13,1070,286,21,1809,3460,164,3624,52%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,019 - PRECINCT 19,106,6,636,88,8,844,1732,132,1864,49%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,020 - PRECINCT 20,104,3,624,87,12,830,1978,143,2121,42%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,021 - PRECINCT 21,173,14,782,211,12,1192,3491,358,3849,34%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,022 - PRECINCT 22,168,8,764,152,2,1094,2321,243,2564,47%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,023 - PRECINCT 23,181,12,1045,145,8,1391,3153,240,3393,44%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,024 - PRECINCT 24,142,6,521,105,3,777,1204,72,1276,65%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,025 - PRECINCT 25,324,11,1052,210,22,1619,3597,423,4020,45%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,026 - PRECINCT 26,244,6,709,165,7,1131,1899,112,2011,60%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,027 - PRECINCT 27,243,4,538,114,4,903,1565,81,1646,58%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,028 - PRECINCT 28,172,6,718,154,6,1056,2153,162,2315,49%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,029 - PRECINCT 29,158,13,727,185,13,1096,3621,434,4055,30%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,030 - PRECINCT 30,264,18,825,215,8,1330,3390,430,3820,39%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,031 - PRECINCT 31,320,9,1117,189,14,1649,3703,185,3888,45%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,032 - PRECINCT 32,71,4,596,23,3,697,1540,78,1618,45%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,033 - PRECINCT 33,120,2,584,51,3,760,1644,80,1724,46%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,034 - PRECINCT 34,42,1,357,25,3,428,1033,64,1097,41%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,035 - PRECINCT 35,679,9,751,249,7,1695,3257,159,3416,52%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,036 - PRECINCT 36,350,18,972,325,18,1683,4032,505,4537,42%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,037 - PRECINCT 37,167,10,604,83,4,868,2956,607,3563,29%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,038 - PRECINCT 38,330,12,900,303,19,1564,2937,183,3120,53%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,039 - PRECINCT 39,165,12,669,149,10,1005,2371,195,2566,42%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,040 - PRECINCT 40,191,13,565,154,11,934,3033,720,3753,31%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,041 - PRECINCT 41,95,11,442,172,11,731,1779,157,1936,41%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,042 - PRECINCT 42,231,10,918,141,8,1308,3116,272,3388,42%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,043 - PRECINCT 43,179,10,750,198,12,1149,3218,349,3567,36%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,044 - PRECINCT 44,281,2,969,267,18,1537,3348,265,3613,46%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,045 - PRECINCT 45,180,23,726,153,5,1087,3425,396,3821,32%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,046 - PRECINCT 46,215,12,714,166,9,1116,3098,310,3408,36%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,047 - PRECINCT 47,348,6,1248,235,39,1876,3463,251,3714,54%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,048 - PRECINCT 48,160,4,563,143,12,882,2044,183,2227,43%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,049 - PRECINCT 49,263,9,664,373,21,1330,2546,228,2774,52%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,050 - PRECINCT 50,61,5,456,75,5,602,2588,359,2947,23%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,051 - PRECINCT 51,393,10,759,186,18,1366,2783,302,3085,49%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,052 - PRECINCT 52,387,11,1190,342,27,1957,4023,295,4318,49%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,053 - PRECINCT 53,388,15,942,260,8,1613,3117,385,3502,52%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,054 - PRECINCT 54,156,1,522,110,11,800,2274,182,2456,35%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,055 - PRECINCT 55,153,12,810,174,7,1156,3973,461,4434,29%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,056 - PRECINCT 56,78,3,595,59,9,744,1466,85,1551,51%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,057 - PRECINCT 57,139,7,612,132,6,896,2150,243,2393,42%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,058 - PRECINCT 58,191,9,677,115,11,1003,2142,215,2357,47%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,059 - PRECINCT 59,73,7,658,92,12,842,2515,278,2793,33%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,060 - PRECINCT 60,343,8,1125,175,15,1666,3754,199,3953,44%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,061 - PRECINCT 61,112,16,648,125,15,916,3760,668,4428,24%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,062 - PRECINCT 62,259,9,979,117,8,1372,3568,217,3785,38%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,063 - PRECINCT 63,293,8,1033,206,8,1548,4202,305,4507,37%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,064 - PRECINCT 64,336,16,1049,252,23,1676,3745,285,4030,45%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,065 - PRECINCT 65,183,18,1017,202,14,1434,3387,357,3744,42%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,066 - PRECINCT 66,247,5,826,120,1,1199,2799,189,2988,43%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,067 - PRECINCT 67,36,3,369,53,10,471,1905,355,2260,25%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,068 - PRECINCT 68,331,6,897,247,12,1493,2716,223,2939,55%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,069 - PRECINCT 69,166,9,709,175,5,1064,2922,307,3229,36%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,070 - PRECINCT 70,155,3,780,153,8,1099,3896,424,4320,28%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,071 - PRECINCT 71,210,10,786,166,7,1179,2794,212,3006,42%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,072 - PRECINCT 72,247,10,998,130,8,1393,3127,281,3408,45%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,073 - PRECINCT 73,145,9,659,197,6,1016,3014,326,3340,34%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,074 - PRECINCT 74,202,2,606,178,7,995,2817,472,3289,35%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,075 - PRECINCT 75,369,13,1078,258,14,1732,3518,272,3790,49%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,076 - PRECINCT 76,193,12,558,162,9,934,3415,531,3946,27%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,077 - PRECINCT 77,161,13,806,165,11,1156,3089,521,3610,37%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,078 - PRECINCT 78,244,14,778,146,13,1195,2690,221,2911,44%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,079 - PRECINCT 79,189,18,738,149,17,1111,3163,377,3540,35%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,080 - PRECINCT 80,162,11,651,128,9,961,2799,324,3123,34%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,081 - PRECINCT 81,280,14,833,186,8,1321,3436,278,3714,38%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,082 - PRECINCT 82,204,10,742,71,8,1035,2517,177,2694,41%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,083 - PRECINCT 83,221,17,951,136,9,1334,3464,281,3745,39%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,084 - PRECINCT 84,155,8,860,139,15,1177,3076,344,3420,38%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,085 - PRECINCT 85,295,4,1002,186,7,1494,3821,254,4075,39%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,086 - PRECINCT 86,291,16,1060,247,22,1636,3295,225,3520,50%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,087 - PRECINCT 87,238,10,805,115,10,1178,2720,173,2893,43%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,088 - PRECINCT 88,225,6,642,120,6,999,2861,204,3065,35%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,089 - PRECINCT 89,286,4,953,237,5,1485,2909,182,3091,51%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,090 - PRECINCT 90,188,11,607,100,8,914,2120,176,2296,43%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,091 - PRECINCT 91,441,14,1025,326,22,1828,4067,375,4442,45%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,092 - PRECINCT 92,126,6,786,117,7,1042,2052,132,2184,51%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,093 - PRECINCT 93,129,10,630,162,9,940,3595,572,4167,26%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,094 - PRECINCT 94,180,5,589,109,5,888,2158,244,2402,41%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,095 - PRECINCT 95,113,6,576,97,5,797,2234,196,2430,36%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,096 - PRECINCT 96,71,6,516,90,4,687,2634,315,2949,26%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,097 - PRECINCT 97,195,14,725,170,23,1127,2863,333,3196,39%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,098 - PRECINCT 98,162,9,425,155,11,762,1986,433,2419,38%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,099 - PRECINCT 99,155,10,376,99,6,646,1654,161,1815,39%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,100 - PRECINCT 100,145,9,499,66,1,720,1408,149,1557,51%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,101 - PRECINCT 101,38,2,221,51,3,315,868,60,928,36%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,102 - PRECINCT 102,36,4,153,39,1,233,502,35,537,46%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,103 - PRECINCT 103,102,4,329,55,1,491,1595,246,1841,31%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,104 - PRECINCT 104,180,17,620,160,10,987,2799,349,3148,35%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,105 - PRECINCT 105,88,6,283,109,3,489,901,48,949,54%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,106 - PRECINCT 106,164,12,371,124,11,682,1888,294,2182,36%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,107 - PRECINCT 107,117,6,472,84,4,683,1418,85,1503,48%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,108 - PRECINCT 108,168,4,189,108,5,474,785,50,835,60%
2023 November General and Special Elections,11/7/2023 0:00,VIRGINIA BEACH CITY,VIRGINIA BEACH CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,WARREN COUNTY,101 - FORK TOWN,220,6,483,51,5,765,2084,179,2263,37%
2023 November General and Special Elections,11/7/2023 0:00,WARREN COUNTY,102 - OTTERBURN,362,10,1267,86,4,1729,3462,210,3672,50%
2023 November General and Special Elections,11/7/2023 0:00,WARREN COUNTY,201 - HAPPY CREEK,398,7,936,103,5,1449,2998,200,3198,48%
2023 November General and Special Elections,11/7/2023 0:00,WARREN COUNTY,202 - LINDEN,267,5,1069,108,10,1459,3223,222,3445,45%
2023 November General and Special Elections,11/7/2023 0:00,WARREN COUNTY,301 - NORTH RIVER,272,4,627,57,8,968,2741,199,2940,35%
2023 November General and Special Elections,11/7/2023 0:00,WARREN COUNTY,302 - RIVERTON,288,8,996,91,3,1386,3010,154,3164,46%
2023 November General and Special Elections,11/7/2023 0:00,WARREN COUNTY,401 - EAST SHENANDOAH,394,17,1132,112,11,1666,4121,326,4447,40%
2023 November General and Special Elections,11/7/2023 0:00,WARREN COUNTY,402 - TOWN - WEST SHENANDOAH,266,5,570,61,1,903,1745,98,1843,52%
2023 November General and Special Elections,11/7/2023 0:00,WARREN COUNTY,501 - SOUTH RIVER,368,13,977,91,3,1452,3546,265,3811,41%
2023 November General and Special Elections,11/7/2023 0:00,WARREN COUNTY,502 - BENTONVILLE,74,1,513,32,,620,1127,59,1186,55%
2023 November General and Special Elections,11/7/2023 0:00,WARREN COUNTY,504 - BROWNTOWN,87,4,397,19,,507,830,38,868,61%
2023 November General and Special Elections,11/7/2023 0:00,WARREN COUNTY,WARREN COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,WASHINGTON COUNTY,101 - EAST ABINGDON,466,5,819,156,9,1455,3321,230,3551,44%
2023 November General and Special Elections,11/7/2023 0:00,WASHINGTON COUNTY,102 - WEST ABINGDON,327,7,467,85,5,891,1910,120,2030,47%
2023 November General and Special Elections,11/7/2023 0:00,WASHINGTON COUNTY,201 - CLINCHBURG,69,,372,11,,452,1072,77,1149,42%
2023 November General and Special Elections,11/7/2023 0:00,WASHINGTON COUNTY,202 - GREENDALE,270,3,590,49,3,915,1961,65,2026,47%
2023 November General and Special Elections,11/7/2023 0:00,WASHINGTON COUNTY,203 - HAYTERS GAP,39,,254,12,1,306,683,30,713,45%
2023 November General and Special Elections,11/7/2023 0:00,WASHINGTON COUNTY,204 WOODLAND HILLS,307,1,523,47,2,880,1627,54,1681,54%
2023 November General and Special Elections,11/7/2023 0:00,WASHINGTON COUNTY,301 - WATAUGA,517,5,879,96,0,1497,2908,117,3025,51%
2023 November General and Special Elections,11/7/2023 0:00,WASHINGTON COUNTY,302 - SOUTH ABINGDON,563,12,697,113,8,1393,3071,196,3267,45%
2023 November General and Special Elections,11/7/2023 0:00,WASHINGTON COUNTY,401 - GLADE SPRING,112,3,728,42,3,888,2136,89,2225,42%
2023 November General and Special Elections,11/7/2023 0:00,WASHINGTON COUNTY,402 - MEADOWVIEW,251,5,835,53,2,1146,2671,130,2801,43%
2023 November General and Special Elections,11/7/2023 0:00,WASHINGTON COUNTY,501 - RHEA VALLEY,336,5,1064,86,3,1494,3455,131,3586,43%
2023 November General and Special Elections,11/7/2023 0:00,WASHINGTON COUNTY,502 - DAMASCUS,113,2,481,44,,640,1573,75,1648,41%
2023 November General and Special Elections,11/7/2023 0:00,WASHINGTON COUNTY,504 - GREEN COVE,7,,87,11,,105,259,7,266,41%
2023 November General and Special Elections,11/7/2023 0:00,WASHINGTON COUNTY,601 - BURSON PLACE,158,7,891,80,5,1141,2949,121,3070,39%
2023 November General and Special Elections,11/7/2023 0:00,WASHINGTON COUNTY,602 - MENDOTA,20,1,212,13,3,249,511,26,537,49%
2023 November General and Special Elections,11/7/2023 0:00,WASHINGTON COUNTY,603 - VALLEY INSTITUTE,64,1,615,38,1,719,2046,91,2137,35%
